Nombre del anuncio,Inicio del informe,Importe gastado (ARS),Impresiones,Alcance,Frecuencia,Clics en el enlace,Visitas a la página de destino,Artículos agregados al carrito,Pagos iniciados,Compras,Valor de conversión de compras,Reproducciones de video de 3 segundos,ThruPlays,Resultados
Catalogo_3,2026-08-28,13897.53,4190,3701,1.132126,58,59,12,0,0,0,3691,38,
Catalogo_4 ¿Es un varón?,2026-08-28,687.89,58,55,1.054545,0,0,0,0,0,0,53,5,
Catalogo_Karla,2026-08-28,223.94,7,7,1,0,0,0,0,0,0,3,0,
Catalogo_5,2026-08-28,370.57,30,26,1.153846,2,2,0,0,0,0,3,0,
Catalogo sin portada,2026-08-29,5330.15,1038,775,1.339355,32,28,4,0,0,0,24,2,
Catalogo_3,2026-08-29,11632.9,3206,2614,1.226473,46,61,15,2,0,0,2364,55,
Catalogo_5,2026-08-29,2.24,2,2,1,0,0,0,0,0,0,0,0,
Catalogo sin portada,2026-08-30,1477.78,310,244,1.270492,7,6,0,0,0,0,21,1,
Catalogo_2,2026-08-30,224.63,31,30,1.033333,2,2,0,0,0,0,11,1,
Catalogo_3,2026-08-30,15645.21,3663,2771,1.321905,73,65,1,1,0,0,2512,24,
Catalogo_4 ¿Es un varón?,2026-08-30,767.77,99,88,1.125,3,2,0,0,0,0,68,2,
Catalogo_Karla,2026-08-30,185.07,42,31,1.354839,2,2,0,0,0,0,8,1,
Catalogo_5,2026-08-30,8.05,4,4,1,0,0,0,0,0,0,0,0,
Catalogo sin portada,2026-08-31,11930.42,2348,1510,1.554967,49,44,5,2,1,44884,233,5,
Catalogo_3,2026-08-31,918.35,171,141,1.212766,4,5,2,1,0,0,106,3,
Catalogo_4 ¿Es un varón?,2026-08-31,1.11,2,2,1,0,0,0,0,0,0,2,0,
Catalogo sin portada,2026-09-01,22043.7,2827,1688,1.674763,117,107,12,3,1,55000,351,14,
Catalogo_3,2026-09-01,0,0,0,0,0,0,2,1,1,108800,0,0,
Catalogo sin portada,2026-09-02,30357.89,2978,1951,1.526397,137,170,13,3,1,61999.15,262,9,
Catalogo sin portada,2026-09-03,22097.87,2779,2027,1.370992,119,110,22,1,0,0,136,8,
Catalogo_2,2026-09-03,109.26,15,14,1.071429,0,0,0,0,0,0,9,2,
Catalogo_3,2026-09-03,6369.48,1184,995,1.18995,34,26,4,1,0,0,1020,17,
Catalogo_4 ¿Es un varón?,2026-09-03,1444.25,181,150,1.206667,5,3,0,0,0,0,112,6,
Catalogo_Karla,2026-09-03,411.46,54,44,1.227273,3,2,0,0,0,0,11,3,
Catalogo_5,2026-09-03,56.34,11,11,1,0,0,0,0,0,0,5,0,
Catalogo sin portada,2026-09-04,6566.41,1005,825,1.218182,41,34,1,2,1,55599,53,3,
Catalogo_2,2026-09-04,646.06,72,66,1.090909,1,1,0,0,0,0,31,0,
Catalogo_3,2026-09-04,2089.68,473,424,1.115566,16,18,1,0,0,0,414,3,
