Nombre del anuncio,Inicio del informe,Importe gastado (CLP),Impresiones,Alcance,Frecuencia,Clics en el enlace,Visitas a la página de destino,Artículos agregados al carrito,Pagos iniciados,Compras,Valor de conversión de compras,Reproducciones de video de 3 segundos,ThruPlays,Resultados
Carrusel Catalogo - Video Nuevo 6,2026-08-09,225,29,26,1.115385,1,1,0,0,0,0,17,1,
Carrusel Catalogo,2026-08-10,434,62,55,1.127273,0,0,0,0,0,0,3,0,
Carrusel Catalogo 2 - Video,2026-08-10,147,15,14,1.071429,1,1,0,0,0,0,11,0,
Carrusel Catalogo 3 - Video - Copia,2026-08-10,139,48,37,1.297297,0,0,0,0,0,0,0,0,
Carrusel Catalogo - Video Nuevo 1,2026-08-10,9055,1016,642,1.582555,49,44,0,0,0,0,209,26,
Carrusel Catalogo - Video Nuevo 2,2026-08-10,312,29,22,1.318182,1,0,0,0,0,0,18,7,
Carrusel Catalogo - Video Nuevo 4,2026-08-10,0,0,0,0,0,0,0,0,0,0,0,0,
Carrusel Catalogo,2026-08-11,18,8,8,1,0,0,0,0,0,0,0,0,
Carrusel Catalogo 2 - Video,2026-08-11,2,1,1,1,0,0,0,0,0,0,0,0,
Carrusel Catalogo 3 - Video - Copia,2026-08-11,139,11,11,1,0,0,0,0,0,0,0,0,
Carrusel Catalogo - Video Nuevo 1,2026-08-11,13924,2463,1772,1.389955,90,75,1,1,0,0,386,60,
Carrusel Catalogo 2 - Video,2026-08-12,15,2,2,1,0,0,0,0,0,0,2,0,
Carrusel Catalogo - Video Nuevo 1,2026-08-12,522,73,65,1.123077,2,2,1,1,0,0,15,1,
Carrusel Catalogo - Video Nuevo 1,2026-08-13,0,0,0,0,0,0,0,0,0,0,0,0,
Carrusel Catalogo - Video Nuevo 1,2026-08-18,303,75,68,1.102941,5,5,1,1,1,12899,44,7,
Carrusel Catalogo 2 - Video,2026-08-18,290,72,65,1.107692,12,8,0,0,0,0,37,5,
Carrusel Catalogo,2026-08-18,127,11,11,1,0,0,0,0,0,0,7,0,
Carrusel Catalogo 2 - Video - AGO,2026-08-18,159,37,34,1.088235,2,2,0,0,0,0,8,1,
Carrusel Catalogo 1 - Video - AGO,2026-08-18,36,10,9,1.111111,0,0,0,0,0,0,3,0,
Carrusel Catalogo - Video Nuevo 1,2026-08-19,4311,927,789,1.174905,52,46,3,0,0,0,208,17,
Carrusel Catalogo 2 - Video,2026-08-19,5,1,1,1,0,0,0,0,0,0,0,0,
Carrusel Catalogo,2026-08-19,4527,1269,996,1.274096,51,45,0,0,0,0,25,3,
Carrusel Catalogo 2 - Video - AGO,2026-08-19,1980,591,526,1.123574,43,22,2,1,0,0,32,5,
Carrusel Catalogo 1 - Video - AGO,2026-08-19,1938,601,521,1.153551,28,24,2,1,1,101500,26,1,
Carrusel Catalogo - Video Nuevo 1,2026-08-20,717,171,156,1.096154,4,4,0,0,0,0,43,2,
Carrusel Catalogo 2 - Video,2026-08-20,2343,630,539,1.168831,31,26,0,0,0,0,79,8,
Carrusel Catalogo,2026-08-20,10287,3726,2996,1.243658,169,141,2,1,0,0,41,3,
Carrusel Catalogo 2 - Video - AGO,2026-08-20,1096,403,383,1.052219,21,17,1,0,0,0,22,2,
Carrusel Catalogo 1 - Video - AGO,2026-08-20,447,142,136,1.044118,6,6,0,0,0,0,3,1,
Carrusel Catalogo - Video Nuevo 1,2026-08-21,1324,573,508,1.127953,29,27,0,0,0,0,78,7,
Carrusel Catalogo 2 - Video,2026-08-21,717,197,177,1.112994,10,8,0,0,0,0,27,3,
Carrusel Catalogo,2026-08-21,13737,5838,4566,1.278581,313,284,3,2,0,0,227,8,
Carrusel Catalogo 1 - Video - AGO,2026-08-21,711,195,169,1.153846,7,6,0,0,0,0,11,1,
Carrusel Catalogo - Video Nuevo 1,2026-08-22,20,3,3,1,1,1,0,0,0,0,1,0,
Carrusel Catalogo 2 - Video,2026-08-22,126,36,35,1.028571,1,1,0,0,0,0,8,0,
Carrusel Catalogo,2026-08-22,1269,531,502,1.057769,30,29,4,4,0,0,18,1,
Carrusel Catalogo 1 - Video - AGO,2026-08-22,413,133,124,1.072581,5,4,2,0,0,0,2,2,
Carrusel Catalogo 1 - Video - AGO,2026-08-22,232,34,32,1.0625,3,2,0,0,0,0,6,1,
Carrusel Catalogo 2 - Video - AGO,2026-08-22,574,70,56,1.25,12,9,0,0,0,0,20,4,
Carrusel Catalogo - Video Nuevo 1,2026-08-22,8606,975,734,1.328338,24,27,0,0,0,0,545,45,
Carrusel Catalogo,2026-08-22,134,23,19,1.210526,2,1,0,0,0,0,3,1,
Carrusel Catalogo 2 - Video,2026-08-22,1012,127,113,1.123894,5,2,0,0,0,0,56,2,
Carrusel Catalogo,2026-08-23,0,0,0,0,0,0,1,1,1,71990,0,0,
Carrusel Catalogo 1 - Video - AGO,2026-08-23,696,86,72,1.194444,3,1,0,0,0,0,13,5,
Carrusel Catalogo 2 - Video - AGO,2026-08-23,2218,250,205,1.219512,9,11,0,0,0,0,77,5,
Carrusel Catalogo - Video Nuevo 1,2026-08-23,10598,885,714,1.239496,61,63,0,0,0,0,592,64,
Carrusel Catalogo,2026-08-23,2498,265,201,1.318408,14,16,0,0,0,0,24,5,
Carrusel Catalogo 2 - Video,2026-08-23,1111,102,73,1.39726,5,3,1,0,0,0,49,2,
Carrusel Catalogo 1 - Video - AGO,2026-08-24,168,16,16,1,0,0,0,0,0,0,2,0,
Carrusel Catalogo 2 - Video - AGO,2026-08-24,1018,94,84,1.119048,3,3,0,0,0,0,39,6,
Carrusel Catalogo - Video Nuevo 1,2026-08-24,11850,1425,1112,1.281475,71,62,0,0,0,0,959,96,
Carrusel Catalogo,2026-08-24,1278,152,114,1.333333,2,2,0,0,0,0,26,0,
Carrusel Catalogo 2 - Video,2026-08-24,241,46,35,1.314286,0,0,0,0,0,0,28,2,
Carrusel Catalogo 2 - Video - AGO,2026-08-25,2477,1185,1051,1.127498,66,48,2,0,0,0,44,2,
Carrusel Catalogo 1 - Video - AGO,2026-08-25,14084,6889,5286,1.303254,353,281,4,3,0,0,336,29,
Carrusel Catalogo 1 - Video - AGO,2026-08-25,10,1,1,1,0,0,0,0,0,0,0,0,
Carrusel Catalogo 2 - Video - AGO,2026-08-25,5,2,2,1,0,0,0,0,0,0,1,0,
Carrusel Catalogo - Video Nuevo 1,2026-08-25,1380,92,85,1.082353,6,6,1,0,0,0,67,11,
Carrusel Catalogo,2026-08-25,197,5,5,1,1,1,0,0,0,0,2,0,
Carrusel Catalogo 2 - Video,2026-08-25,42,10,8,1.25,1,1,0,0,0,0,5,1,
Carrusel Catalogo - Video Nuevo 1,2026-08-26,870,360,314,1.146497,16,10,0,0,0,0,59,5,
Carrusel Catalogo 2 - Video,2026-08-26,403,178,158,1.126582,12,6,0,0,0,0,24,0,
Carrusel Catalogo,2026-08-26,1111,337,312,1.080128,37,32,1,1,0,0,5,0,
Carrusel Catalogo 2 - Video - AGO,2026-08-26,245,91,88,1.034091,0,0,0,0,0,0,3,0,
Carrusel Catalogo 1 - Video - AGO,2026-08-26,10493,4530,3904,1.160348,253,234,5,3,0,0,135,15,
Carrusel Catalogo - Video Nuevo 1 - Copia,2026-08-26,11462,4815,3982,1.209191,284,243,2,2,1,53990,553,91,
Carrusel Catalogo 2 - Video,2026-08-27,0,0,0,0,0,0,0,0,0,0,0,0,
Carrusel Catalogo,2026-08-27,705,225,219,1.027397,17,14,2,0,0,0,7,1,
Carrusel Catalogo 2 - Video - AGO,2026-08-27,620,227,214,1.060748,8,8,0,0,0,0,10,2,
Carrusel Catalogo 1 - Video - AGO,2026-08-27,4655,1945,1707,1.139426,111,89,1,1,0,0,58,7,
Carrusel Catalogo - Video Nuevo 1 - Copia,2026-08-27,18608,7395,5690,1.299649,499,414,9,6,0,0,636,99,
Carrusel Catalogo - Video Nuevo 1,2026-08-28,194,41,36,1.138889,5,5,0,0,0,0,7,4,
Carrusel Catalogo 2 - Video,2026-08-28,183,54,52,1.038462,4,3,0,0,0,0,1,0,
Carrusel Catalogo,2026-08-28,86,27,26,1.038462,0,0,0,0,0,0,0,0,
Carrusel Catalogo 2 - Video - AGO,2026-08-28,30,15,15,1,0,0,0,0,0,0,0,0,
Carrusel Catalogo 1 - Video - AGO,2026-08-28,2183,913,809,1.128554,35,27,0,0,0,0,7,0,
Carrusel Catalogo - Video Nuevo 1 - Copia,2026-08-28,12245,5219,4364,1.195921,329,264,2,1,0,0,278,47,
Carrusel Catalogo 1 - Video - AGO - Copia,2026-08-28,5800,2363,2032,1.162894,142,115,3,1,0,0,10,1,
Carrusel Catalogo 1 - Video - AGO - Copia 2,2026-08-28,4381,2117,1828,1.158096,102,87,2,0,0,0,9,1,
Carrusel Catalogo - Video Nuevo 1,2026-08-29,46,17,14,1.214286,1,0,0,0,0,0,4,0,
Carrusel Catalogo 2 - Video,2026-08-29,159,47,41,1.146341,1,1,0,0,0,0,2,0,
Carrusel Catalogo,2026-08-29,21,8,8,1,0,0,0,0,0,0,0,0,
Carrusel Catalogo 2 - Video - AGO,2026-08-29,56,21,19,1.105263,1,0,0,0,0,0,0,0,
Carrusel Catalogo 1 - Video - AGO,2026-08-29,717,351,322,1.090062,18,13,1,1,0,0,4,1,
Carrusel Catalogo - Video Nuevo 1,2026-08-29,0,0,0,0,0,0,0,0,0,0,0,0,
Carrusel Catalogo - Video Nuevo 1 - Copia,2026-08-29,2612,1192,1107,1.076784,66,56,1,1,0,0,61,16,
Carrusel Catalogo 1 - Video - AGO - Copia,2026-08-29,6937,2500,2070,1.207729,162,140,5,3,0,0,13,1,
Carrusel Catalogo 1 - Video - AGO - Copia 2,2026-08-29,3594,1452,1205,1.204979,97,78,1,2,0,0,4,1,
Carrusel Catalogo - Video Nuevo 1,2026-08-30,55,26,22,1.181818,1,2,0,0,0,0,9,0,
Carrusel Catalogo 2 - Video,2026-08-30,11,10,9,1.111111,0,0,0,0,0,0,0,0,
Carrusel Catalogo,2026-08-30,22,16,14,1.142857,0,0,0,0,0,0,1,0,
Carrusel Catalogo 2 - Video - AGO,2026-08-30,3,2,2,1,0,0,0,0,0,0,0,0,
Carrusel Catalogo 1 - Video - AGO,2026-08-30,219,60,56,1.071429,2,1,0,0,0,0,4,2,
Carrusel Catalogo - Video Nuevo 1 - Copia,2026-08-30,2167,1157,1019,1.135427,61,44,1,1,0,0,98,20,
Carrusel Catalogo 1 - Video - AGO - Copia,2026-08-30,14429,5838,4841,1.205949,360,295,11,9,0,0,14,0,
Carrusel Catalogo 1 - Video - AGO - Copia 2,2026-08-30,2693,1156,1048,1.103053,79,70,0,0,0,0,3,1,
Carrusel Catalogo - Video Nuevo 1,2026-08-31,91,44,37,1.189189,3,3,0,0,0,0,4,1,
Carrusel Catalogo 2 - Video,2026-08-31,52,14,13,1.076923,1,0,0,0,0,0,2,1,
Carrusel Catalogo,2026-08-31,19,12,11,1.090909,1,0,0,0,0,0,0,0,
Carrusel Catalogo 2 - Video - AGO,2026-08-31,4,1,1,1,0,0,0,0,0,0,0,0,
Carrusel Catalogo 1 - Video - AGO,2026-08-31,20,10,10,1,0,0,0,0,0,0,1,0,
Carrusel Catalogo - Video Nuevo 1 - Copia,2026-08-31,267,133,126,1.055556,9,8,0,0,0,0,11,3,
Carrusel Catalogo 1 - Video - AGO - Copia,2026-08-31,10798,4606,4051,1.137003,277,232,5,5,0,0,4,0,
Carrusel Catalogo 1 - Video - AGO - Copia 2,2026-08-31,1353,555,511,1.086106,28,22,0,0,0,0,0,0,
Carrusel Catalogo 2 - Video - AGO - Copia,2026-08-31,1286,629,583,1.078902,21,18,0,0,0,0,0,0,
Carrusel Catalogo 2 - Video - AGO - Copia 2,2026-08-31,950,416,400,1.04,13,9,1,1,0,0,0,0,
Carrusel Catalogo 2 - Video - AGO - Copia 3,2026-08-31,1693,773,713,1.084151,41,32,0,0,0,0,1,1,
Carrusel Catalogo,2026-09-01,1615,245,214,1.14486,8,5,0,0,0,0,1,0,
Carrusel Catalogo,2026-09-01,1,1,1,1,0,0,0,0,0,0,0,0,
Carrusel Catalogo - Video Nuevo 1 - Copia,2026-09-01,30,8,8,1,0,0,0,0,0,0,1,1,
Carrusel Catalogo 1 - Video - AGO - Copia,2026-09-01,1205,399,375,1.064,29,25,0,0,0,0,0,0,
Carrusel Catalogo 1 - Video - AGO - Copia 2,2026-09-01,12,3,3,1,1,0,0,0,0,0,0,0,
Carrusel Catalogo 2 - Video - AGO - Copia,2026-09-01,485,149,144,1.034722,5,5,1,1,0,0,1,0,
Carrusel Catalogo 2 - Video - AGO - Copia 2,2026-09-01,667,289,272,1.0625,13,11,0,0,0,0,0,0,
Carrusel Catalogo 2 - Video - AGO - Copia 3,2026-09-01,2721,1048,982,1.06721,64,61,1,0,0,0,1,0,
Carrusel Catalogo 2 - Video - AGO - Copia 3,2026-09-01,311,95,81,1.17284,2,1,0,0,0,0,0,0,
Carrusel Catalogo 2 - Video - AGO - Copia 2,2026-09-01,3635,452,366,1.234973,18,17,0,0,0,0,3,0,
Carrusel Catalogo 1 - Video - AGO - Copia 2,2026-09-01,98,33,32,1.03125,0,0,0,0,0,0,0,0,
Carrusel Catalogo 1 - Video - AGO - Copia 3,2026-09-01,2253,288,189,1.52381,17,19,0,0,0,0,0,0,
Carrusel Catalogo 2 - Video - AGO - Copia 4,2026-09-01,1069,168,130,1.292308,6,3,0,0,0,0,0,0,
